Päivä	Helen 12kk	Helen 24kk	Oomi 12kk	Oomi 24kk	Hehku 12kk	Hehku 24kk	Cheap 12kk	Cheap 24kk	Väre 12kk	Väre 24kk	Vaasan Sähkö 12kk	Vaasan Sähkö 24kk	Aalto 12kk	Aalto 24kk	PKS 12kk	PKS 24kk
7.8.2026 09:00			10,99		10,19	9,68		9,65			10,48	9,46
7.8.2026 11:00	11,65	10,19	11,19	9,89	10,19	9,68		9,65			11,45	9,99			12,26	10,18
8.8.2026	11,65	10,19	11,19	9,89	10,19	9,68		9,65			10,48	9,46			12,26	10,18
9.8.2026	11,65	10,19	11,19	9,89	10,19	9,68		9,65			11,45	9,99	11,59	10,19	12,26	10,18
10.8.2026	11,65	10,19	11,19	9,89	10,19	9,68		9,65			11,45	9,99	11,59	10,19	12,26	10,18
11.8.2026	11,19	9,89	11,19	9,89	10,19	9,68		9,65			11,45	9,99	11,59	10,19	12,26	10,18
12.8.2026	11,19	9,89	11,19	9,89	10,79	9,68		9,65			11,45	9,99	11,59	10,19
13.8.2026	11,19	9,89	11,19	9,89	10,79	9,68		9,65			11,45	9,99	11,59	10,19	12,26	10,18
14.8.2026	11,19	9,89	11,19	9,59	10,79	9,68		9,65			11,45	9,99	11,59	10,19	12,26	10,18
15.8.2026	11,19	9,89	11,19	9,59	10,79	9,68		9,65			11,45	9,99	11,59	10,19	12,26	10,18
16.8.2026	11,19	9,89	11,19	9,59	10,79	9,68		9,65			11,45	9,99	11,59	10,19	12,26	10,18
17.8.2026	11,19	9,89	11,19	9,59	10,79	9,68		9,65			11,45	9,99	11,59	10,19	12,26	10,18
18.8.2026	10,99	9,89	11,19	9,59	10,79	9,68		9,65			11,45	9,99	11,59	10,19	12,26	10,18
19.8.2026	10,99	9,89	11,19	9,59	10,79	9,68		9,65			11,24	9,99	11,59	10,19
20.8.2026	10,99	9,89	11,19	9,59	10,79	9,68		9,65				9,99	11,59	10,19
21.8.2026	10,99	9,89	11,19	9,59	11,29	9,68		9,65			11,24	9,99	11,59	10,19	12,26	10,18
22.8.2026	10,99	9,89	11,19	9,59	11,29	9,68		9,65			11,24	9,99	11,59	10,19	12,26	10,18
23.8.2026	10,99	9,89	11,19	9,59	11,29	9,68		9,65			11,24	9,99	11,59	10,19	12,26	10,18
24.8.2026	10,99	9,89	11,19	9,59	11,29	9,68		9,65			11,24	9,99	11,59	10,19	12,26	10,18
25.8.2026	11,47	9,99	11,19	9,59	11,29	9,68		9,65			11,24	9,99	11,59	10,19	12,26	10,18
26.8.2026	11,47	9,99	11,19	9,59	11,29	9,68		9,65			11,24	9,99	11,59	10,19	12,26	10,18
27.8.2026	11,47	9,99	11,19	9,59	11,29	9,68		9,65			11,24	9,99	11,59	10,19	12,26	10,18
28.8.2026	11,47	9,99	10,79	9,59	11,18	9,68		9,65			11,24	9,99	11,59	10,19	12,26	10,18
29.8.2026	11,47	9,99	10,79	9,59	11,18	9,68		9,65			11,24	9,99	11,59	10,19	12,26	10,18
30.8.2026	11,47	9,99	10,79	9,59	11,18	9,68		9,65			11,24	9,99	11,59	10,19	12,26	10,18
31.8.2026	11,47	9,99	10,79	9,59	11,18	9,68		9,65			11,24	9,99	11,59	10,19	12,26	10,18
1.9.2026	10,99	9,69	10,79	9,59	11,18	9,68		9,65			11,24	9,99	11,59	10,19	12,26	10,18
2.9.2026	10,99	9,69	10,79	9,59	11,18	9,68	11,99	9,65			11,24	9,99	11,59	10,19	12,26	10,18
3.9.2026	10,99	9,69	10,79	9,59	11,18	9,68	11,99	9,65			11,24	9,99			12,26	10,18
4.9.2026	10,99	9,69	10,79	9,59	11,18	9,68	11,99	9,65			11,24	9,99			12,26	10,18
5.9.2026	10,99	9,69	11,19	9,79	11,18	9,68	11,99	9,65			11,24	9,99			12,26	10,18
6.9.2026	10,99	9,69	11,19	9,79	11,18	9,68	11,99	9,65			11,24	9,99			12,26	10,18
7.9.2026	10,99	9,69	11,19	9,79	11,18	9,68	11,99	9,65			11,24	9,99			12,26	10,18
8.9.2026	10,99	9,69	11,19	9,79	11,18	9,68		9,65			11,67	10,29			12,26	10,18
9.9.2026	11,19	9,89	11,19	9,79	11,18	9,78		9,68			11,67	10,29			12,26	10,18
10.9.2026	11,19	9,89	11,19	9,79	11,18	9,78		9,68			11,67	10,29			12,26	10,18
11.9.2026	11,19	9,89	12,79	10,49	11,18	9,78		9,68			11,67	10,29			12,26	10,18
12.9.2026	12,05	10,62	12,79	10,49	11,18	9,78		9,68			11,67	10,29			12,26	10,18
13.9.2026	12,05	10,62	12,79	10,49	11,18	9,78		9,68			11,67	10,29			12,26	10,18
14.9.2026	12,05	10,62	12,79	10,49	11,38	10,28		10,18			11,67	10,29			12,26	10,18
15.9.2026	11,99	10,59	12,79	10,49	11,38	10,28		10,18			11,67	10,29			12,90	10,81
16.9.2026	11,99	10,59	12,79	10,49	11,38	10,28		10,18			12,60	11,03			12,90	10,81
17.9.2026	11,99	10,59	12,49	10,49	11,38	10,28		10,18			12,60	11,03			12,90	10,81
18.9.2026	11,99	10,59	12,49	10,49	11,38	10,28		10,18			12,60	11,03			12,90	10,81
19.9.2026	11,99	10,59	12,49	10,49	11,38	10,28		10,18			12,60	11,03			12,90	10,81
20.9.2026	11,99	10,59	12,49	10,49	11,38	10,28		10,18			12,60	11,03			12,90	10,81
21.9.2026	11,99	10,59	12,49	10,49	11,38	10,28		10,18			12,60	11,03			12,90	10,81
22.9.2026	11,68	10,48	12,49	10,49	11,38	10,28		10,18			12,60	11,03			12,90	10,81
23.9.2026	11,68	10,48	12,49	10,49	11,38	10,28		10,18			12,60	11,03			12,90	10,81
24.9.2026	11,68	10,48	12,49	10,49	11,38	10,28
